06-20 12:11:13.372   525  1913 I ActivityTaskManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity bnds=[439,958][640,1270]} from uid 10137
06-20 12:11:13.503   525   554 I ActivityManager: Start proc 3884:com.DefaultCompany.MopubTest/u0a154 for pre-top-activity {com.DefaultCompany.MopubTest/com.unity3d.player.UnityPlayerActivity}
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:43.869  3884  3997 E Unity   : UnityEngine.UI
06-20 12:11:43.943  3884  3997 D Unity   : Uploading Crash Report
06-20 12:11:43.947  3884  3997 E Unity   : Exception: 0xDEADDEAD
06-20 12:11:43.947  3884  3997 E Unity   :   at MoPub.ValidateInit (System.String message) [0x0001f] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1102 
06-20 12:11:43.947  3884  3997 E Unity   :   at MoPub+AdUnitManager.GetAdUnit (System.String adUnitId) [0x00001] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1146 
06-20 12:11:43.947  3884  3997 E Unity   :   at MoPub.ShowInterstitialAd (System.String adUnitId) [0x00016] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:346 
06-20 12:11:43.947  3884  3997 E Unity   :   at SceneManager.<Start>b__14_4 () [0x00001] in E:\repo\MopubTest\Assets\Scripts\SceneManager.cs:56 
06-20 12:11:43.947  3884  3997 E Unity   :   at UnityEngine.Events.InvokableCall.Invoke () [0x00010] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166 
06-20 12:11:43.947  3884  3997 E Unity   :   at UnityEngine.Events.UnityEvent.Invoke () [0x00022] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58 
06-20 12:11:43.947  3884  3997 E Unity   :   at UnityEngine.UI.Button.Press () [0x00027] in E:\repo\MopubTest\Library\PackageCache\com.unity.ugui@1.0.0\Runtime\UI\Core\Button.cs:68 
06-20 12:11:43.947  3884  3997 E Unity   :   at UnityEngine.UI.Button.OnPointerClick (UnityEngine.EventSystems.PointerEventData eventData) [0x000
06-20 12:11:46.376  3884  3997 I Unity   : [MoPub-Unity] [ShowInterstitialAd] Attempting to show ad
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:46.376  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:46.376  3884  3997 I Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:345)
06-20 12:11:46.376  3884  3997 I Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:46.376  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/PackageCac
06-20 12:11:46.385  3884  3997 E Unity   : FATAL ERROR: MoPub SDK has not been successfully initialized.
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.Debug:LogError (object)
06-20 12:11:46.385  3884  3997 E Unity   : MoPub:ValidateInit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1101)
06-20 12:11:46.385  3884  3997 E Unity   : MoPub/AdUnitManager:GetAdUnit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1146)
06-20 12:11:46.385  3884  3997 E Unity   : MoPub:ShowInterstitialAd (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:346)
06-20 12:11:46.385  3884  3997 E Unity   : SceneManager:<Start>b__14_4 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:56)
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:46.385  3884  3997 E Unity   : UnityEngine.UI
06-20 12:11:46.409  3884  3997 E Unity   : Exception: 0xDEADDEAD
06-20 12:11:46.409  3884  3997 E Unity   :   at MoPub.ValidateInit (System.String message) [0x0001f] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1102 
06-20 12:11:46.409  3884  3997 E Unity   :   at MoPub+AdUnitManager.GetAdUnit (System.String adUnitId) [0x00001] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1146 
06-20 12:11:46.409  3884  3997 E Unity   :   at MoPub.ShowInterstitialAd (System.String adUnitId) [0x00016] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:346 
06-20 12:11:46.409  3884  3997 E Unity   :   at SceneManager.<Start>b__14_4 () [0x00001] in E:\repo\MopubTest\Assets\Scripts\SceneManager.cs:56 
06-20 12:11:46.409  3884  3997 E Unity   :   at UnityEngine.Events.InvokableCall.Invoke () [0x00010] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166 
06-20 12:11:46.409  3884  3997 E Unity   :   at UnityEngine.Events.UnityEvent.Invoke () [0x00022] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58 
06-20 12:11:46.409  3884  3997 E Unity   :   at UnityEngine.UI.Button.Press () [0x00027] in E:\repo\MopubTest\Library\PackageCache\com.unity.ugui@1.0.0\Runtime\UI\Core\Button.cs:68 
06-20 12:11:46.409  3884  3997 E Unity   :   at UnityEngine.UI.Button.OnPointerClick (UnityEngine.EventSystems.PointerEventData eventData) [0x000
06-20 12:11:47.243  3884  3997 I Unity   : [MoPub-Unity] [ShowRewardedVideo] Attempting to show ad
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:47.243  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:47.243  3884  3997 I Unity   : MoPub:ShowRewardedVideo (string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:410)
06-20 12:11:47.243  3884  3997 I Unity   : SceneManager:<Start>b__14_5 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:62)
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:47.243  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/Packa
06-20 12:11:47.245  3884  3997 E Unity   : FATAL ERROR: MoPub SDK has not been successfully initialized.
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.Debug:LogError (object)
06-20 12:11:47.245  3884  3997 E Unity   : MoPub:ValidateInit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1101)
06-20 12:11:47.245  3884  3997 E Unity   : MoPub/AdUnitManager:GetAdUnit (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1146)
06-20 12:11:47.245  3884  3997 E Unity   : MoPub:ShowRewardedVideo (string,string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:411)
06-20 12:11:47.245  3884  3997 E Unity   : SceneManager:<Start>b__14_5 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:62)
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:47.245  3884  3997 E Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:47.245  3884  3997 E Unity   : UnityEng
06-20 12:11:47.260  3884  3997 D Unity   : Uploading Crash Report
06-20 12:11:47.262  3884  3997 E Unity   : Exception: 0xDEADDEAD
06-20 12:11:47.262  3884  3997 E Unity   :   at MoPub.ValidateInit (System.String message) [0x0001f] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1102 
06-20 12:11:47.262  3884  3997 E Unity   :   at MoPub+AdUnitManager.GetAdUnit (System.String adUnitId) [0x00001] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:1146 
06-20 12:11:47.262  3884  3997 E Unity   :   at MoPub.ShowRewardedVideo (System.String adUnitId, System.String customData) [0x00016] in E:\repo\MopubTest\Assets\MoPub\Scripts\MoPub.cs:411 
06-20 12:11:47.262  3884  3997 E Unity   :   at SceneManager.<Start>b__14_5 () [0x00001] in E:\repo\MopubTest\Assets\Scripts\SceneManager.cs:62 
06-20 12:11:47.262  3884  3997 E Unity   :   at UnityEngine.Events.InvokableCall.Invoke () [0x00010] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166 
06-20 12:11:47.262  3884  3997 E Unity   :   at UnityEngine.Events.UnityEvent.Invoke () [0x00022] in /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58 
06-20 12:11:47.262  3884  3997 E Unity   :   at UnityEngine.UI.Button.Press () [0x00027] in E:\repo\MopubTest\Library\PackageCache\com.unity.ugui@1.0.0\Runtime\UI\Core\Button.cs:68 
06-20 12:11:47.262  3884  3997 E Unity   :   at UnityEngine.UI.Button.OnPointerClick (UnityEngine.EventSystems.PointerEv
06-20 12:11:49.619  3884  3997 I Unity   : [MoPub-Unity] [InitializeSdk] SDK initialization started
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:49.619  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:49.619  3884  3997 I Unity   : MoPub:InitializeSdk (MoPub/SdkConfiguration) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:57)
06-20 12:11:49.619  3884  3997 I Unity   : SceneManager:<Start>b__14_1 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:38)
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:49.619  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTest/Library/
06-20 12:11:50.081  3884  3997 I Unity   : 1 Banner AdUnits loaded for plugins:
06-20 12:11:50.081  3884  3997 I Unity   : b195f8dd8ded45fe847ad89ed1d016da
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:50.081  3884  3997 I Unity   : MoPub:LoadPluginsForAdUnits (string[],string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1083)
06-20 12:11:50.081  3884  3997 I Unity   : MoPub:LoadBannerPluginsForAdUnits (string[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:73)
06-20 12:11:50.081  3884  3997 I Unity   : SceneManager:<Start>b__14_1 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:39)
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:50.081  3884  3997 I Unity   : UnityEngine.UI.Button:Press () (at E:/repo/MopubTe
06-20 12:11:50.122  3884  3997 I Unity   : 2 Interstitial AdUnits loaded for plugins:
06-20 12:11:50.122  3884  3997 I Unity   : 24534e1901884e398f1253216226017e, bb45288e5142444aae022b55a6035d0c
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:50.122  3884  3997 I Unity   : MoPub:LoadPluginsForAdUnits (string[],string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1083)
06-20 12:11:50.122  3884  3997 I Unity   : MoPub:LoadInterstitialPluginsForAdUnits (string[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:83)
06-20 12:11:50.122  3884  3997 I Unity   : SceneManager:<Start>b__14_1 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:40)
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:50.122  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:50.122  3884  3997 I Unity   : Unit
06-20 12:11:50.173  3884  3997 I Unity   : 2 RewardedVideo AdUnits loaded for plugins:
06-20 12:11:50.173  3884  3997 I Unity   : 920b6145fb1546cf8b5cf2ac34638bb7, 30c362fc0e0a46b991d8a543e7bfde7c
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:50.173  3884  3997 I Unity   : MoPub:LoadPluginsForAdUnits (string[],string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:1083)
06-20 12:11:50.173  3884  3997 I Unity   : MoPub:LoadRewardedVideoPluginsForAdUnits (string[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPub.cs:93)
06-20 12:11:50.173  3884  3997 I Unity   : SceneManager:<Start>b__14_1 () (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:41)
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.Events.InvokableCall:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent.cs:166)
06-20 12:11:50.173  3884  3997 I Unity   : UnityEngine.Events.UnityEvent:Invoke () (at /Users/bokken/buildslave/unity/build/Runtime/Export/UnityEvent/UnityEvent/UnityEvent_0.cs:58)
06-20 12:11:50.173  3884  3997 I Unity   : Un
06-20 12:11:50.478  3884  4534 D UnityAds: com.unity3d.services.core.misc.Utilities.writeFile() (line:127) :: Wrote file: /data/user/0/com.DefaultCompany.MopubTest/files/UnityAdsStorage-public-data.json
06-20 12:11:50.481  3884  4534 D UnityAds: com.unity3d.services.core.device.Storage.sendEvent() (line:86) :: Couldn't send storage event to WebApp
06-20 12:11:50.486  3884  4534 D UnityAds: com.unity3d.services.core.misc.Utilities.writeFile() (line:127) :: Wrote file: /data/user/0/com.DefaultCompany.MopubTest/files/UnityAdsStorage-public-data.json
06-20 12:11:50.486  3884  4534 D UnityAds: com.unity3d.services.core.device.Storage.sendEvent() (line:86) :: Couldn't send storage event to WebApp
06-20 12:11:50.486  3884  4534 D UnityAds: com.unity3d.services.ads.UnityAdsImplementation.initialize() (line:72) :: ENTERED METHOD
06-20 12:11:50.487  3884  4534 D UnityAds: com.unity3d.services.UnityServices.initialize() (line:36) :: ENTERED METHOD
06-20 12:11:50.496  3884  4534 I UnityAds: com.unity3d.services.UnityServices.initialize() (line:131) :: Initializing Unity Services 3.7.2 (3720) with game id 4178177 in production mode
06-20 12:11:50.593  3884  4534 I UnityAds: com.unity3d.services.UnityServices.initialize() (line:146) :: Unity Services environment check OK
06-20 12:11:50.678  3884  4539 I UnityAds: com.unity3d.services.core.configuration.InitializeThread$InitializeStateConfig.execute() (line:289) :: Unity Ads init: load configuration from https://config.unityads.unity3d.com/webview/3.7.2/release/config.json
06-20 12:11:50.813  3884  4539 I UnityAds: com.unity3d.services.core.configuration.InitializeThread$InitializeStateLoadCache.execute() (line:346) :: Unity Ads init: webapp loaded from local cache
06-20 12:11:51.389  3884  3884 I MoPub   : UnityAdsAdapterConfiguration: Adapter version 3.7.2.0, SDK version 3.7.2
06-20 12:11:51.610  3884  3997 I Unity   : [MoPub-Unity] [EmitSdkInitializedEvent] SDK initialized and ready to display ads.  Log Level: Info
06-20 12:11:51.610  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:51.610  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:51.610  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:51.610  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:51.610  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
06-20 12:11:51.610  3884  3997 I Unity   : MoPubManager:EmitSdkInitializedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:316)
06-20 12:11:51.610  3884  3997 I Unity   :  
06-20 12:11:51.610  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:11:51.610  3884  3997 I Unity   : 
06-20 12:11:51.653  3884  3997 I Unity   : SceneManager: Initialized SDK. b195f8dd8ded45fe847ad89ed1d016da
06-20 12:11:51.653  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:51.653  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:51.653  3884  3997 I Unity   : UnityEngine.Logger:Log (UnityEngine.LogType,object)
06-20 12:11:51.653  3884  3997 I Unity   : UnityEngine.Debug:Log (object)
06-20 12:11:51.653  3884  3997 I Unity   : SceneManager:<Start>b__14_0 (string) (at E:/repo/MopubTest/Assets/Scripts/SceneManager.cs:32)
06-20 12:11:51.653  3884  3997 I Unity   : MoPubManager:EmitSdkInitializedEvent (string) (at E:/repo/MopubTest/Assets/MoPub/Scripts/MoPubManager.cs:318)
06-20 12:11:51.653  3884  3997 I Unity   :  
06-20 12:11:51.653  3884  3997 I Unity   : (Filename: /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs Line: 37)
06-20 12:11:51.653  3884  3997 I Unity   : 
06-20 12:11:52.005  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: mediation detection is:{"UnityEngine":true}
06-20 12:11:52.039  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: Requesting configuration from https://publisher-config.unityads.unity3d.com/games/4178177/configuration?deviceMake=Google&screenDensity=440&screenSize=268435810&idfi=e1328524-1759-4de7-8376-442f4e24365c&advertisingTrackingId=5bf704b9-10d2-4c98-82aa-2096d6350887&limitAdTracking=false&connectionType=wifi&screenHeight=2072&screenWidth=1080&bundleId=com.DefaultCompany.MopubTest&encrypted=false&rooted=false&platform=android&sdkVersion=3720&osVersion=11&deviceModel=sdk_gphone_x86_arm&language=en_US&test=false&analyticsUserId=7d3dae1f48e151a3f92f7d8d481dece7&analyticsSessionId=4538687699441589333&first=false
06-20 12:11:52.240  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: Received configuration for token eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhZyI6ImIvRmNYY214RXJGeTd2NkJSYmVmRnVDSzBERkg3eml4TlF1SWcwMzFUSm1xN0ovWnpTTDBOU293ejJpRUZxdVVpWVlWdGc9PSIsImFwcExldmVsQ29wcGEiOmZhbHNlLCJhdHQiOjAsImF1YyI6MTYwLCJhenAiOiI4NzNiMTM3NC1kZmE0LTQxOGMtYjI4NS05YTRjZjA3MjVhMmIiLCJjYWxjdWxhdGVkQ29wcGEiOmZhbHNlLCJjb25zZW50IjpmYWxzZSwiY3BpIjoyMTksImNyZWF0ZWQiOjE2MjQxNTM3MTUwMDAsImR0IjowLCJleHAiOjE2MjU0MDA3MTQsImlhcCI6MTIxLCJpYXQiOjE2MjQxOTExMTQsImlnIjoia2x4UzZ5SGRTekJicFlka2gzbXF6Wmd6V1FhbC94Ty96R0RrY29kOFd4RHlvQzJQVDdHYnAwMHRzV01NcWVTMFRMbVdqdz09IiwiaXNzIjoiYWRzLWdhbWUtY29uZmlndXJhdGlvbi51bml0eWFkcy51bml0eTNkLmNvbSIsImxlZ2FsVGVycml0b3J5IjowLCJsdHYiOjIwMSwicHJvIjo3NSwicHJveGllZCI6ZmFsc2UsInN1YiI6IlFHYk5FcWVHTjlqYWxLaHVOcndKcFNkWjM4OGdsRTZha2pYS1lEV2dvMVFLTGluTW83SlltNC9kRDVKQU1UWUF1NVJYVmc9PSIsInVzZXJBZ2VHYXRlUmVzdWx0IjpmYWxzZSwidXNlckxldmVsQ29wcGEiOnRydWUsInhwciI6Njh9.n4ZpAj38Pn8L_nttMyZxs-C5Givfiq_VdsJpbiEJ9OU (A/B group 8)
06-20 12:11:52.441  3884  4560 I UnityAds: com.unity3d.services.core.api.Sdk.logInfo() (line:84) :: Requesting ad plan from https://auction.unityads.unity3d.com/v4/test/games/4178177/requests?idfi=e1328524-1759-4de7-8376-442f4e24365c&advertisingTrackingId=5bf704b9-10d2-4c98-82aa-2096d6350887&limitAdTracking=false&deviceModel=sdk_gphone_x86_arm&platform=android&sdkVersion=3720&stores=google&deviceMake=Google&screenSize=268435810&screenDensity=440&apiLevel=30&test=true&screenWidth=1080&screenHeight=2072&connectionType=wifi&networkType=0
06-20 12:11:52.689  3884  3997 I Unity   : [MoPub-Unity] [RequestInterstitialAd] Attempting to load ad
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.StackTraceUtility:ExtractStackTrace () (at /Users/bokken/buildslave/unity/build/Runtime/Export/Scripting/StackTrace.cs:37)
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.DebugLogHandler:LogFormat (UnityEngine.LogType,UnityEngine.Object,string,object[])
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.Logger:LogFormat (UnityEngine.LogType,string,object[])
06-20 12:11:52.689  3884  3997 I Unity   : UnityEngine.Debug:LogFormat (string,object[])
06-20 12:11:52.689  3884  3997 I Unity   : MoPubLog:Log (string,string,object[]) (at E:/repo/MopubTest/Assets/MoPub/Scripts/Internal/MoPubLog.cs:76)
